date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:05	42666/42666	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:01%20GMT	https://demos.devsnest.net/medifast/index.html	E:/website/zeeshan/demos.devsnest.net/medifast/index.html	(from )
21:34:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2016:34:03%20GMT	https://demos.devsnest.net/robots.txt		(from )
21:34:06	5373/5373	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2015:28:38%20GMT	https://demos.devsnest.net/medifast/img/fav/favicon-96x96.png	E:/website/zeeshan/demos.devsnest.net/medifast/img/fav/favicon-96x96.png	(from https://demos.devsnest.net/medifast/index.html)
21:34:06	1959/1959	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2015:28:38%20GMT	https://demos.devsnest.net/medifast/img/fav/android-icon-48x48.png	E:/website/zeeshan/demos.devsnest.net/medifast/img/fav/android-icon-48x48.png	(from https://demos.devsnest.net/medifast/index.html)
21:34:07	3801/3801	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2015:28:38%20GMT	https://demos.devsnest.net/medifast/img/fav/android-icon-72x72.png	E:/website/zeeshan/demos.devsnest.net/medifast/img/fav/android-icon-72x72.png	(from https://demos.devsnest.net/medifast/index.html)
21:34:07	6713/6713	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2015:28:38%20GMT	https://demos.devsnest.net/medifast/img/fav/apple-icon-114x114.png	E:/website/zeeshan/demos.devsnest.net/medifast/img/fav/apple-icon-114x114.png	(from https://demos.devsnest.net/medifast/index.html)
21:34:08	5618/5618	---M-Z	200	added ('OK')	text/css	date:Sat,%2031%20Dec%202022%2019:46:34%20GMT	https://demos.devsnest.net/medifast/css/meanmenu.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/meanmenu.css	(from https://demos.devsnest.net/medifast/index.html)
21:34:08	194901/194901	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2016:24:50%20GMT	https://demos.devsnest.net/medifast/css/bootstrap.min.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/bootstrap.min.css	(from https://demos.devsnest.net/medifast/index.html)
21:34:08	18252/18252	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Nov%202022%2017:04:12%20GMT	https://demos.devsnest.net/medifast/css/flags.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/flags.css	(from https://demos.devsnest.net/medifast/index.html)
21:34:09	101965/101965	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2016:47:36%20GMT	https://demos.devsnest.net/medifast/css/fontawesome.all.min.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/fontawesome.all.min.css	(from https://demos.devsnest.net/medifast/index.html)
21:34:09	13968/13968	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2019:49:02%20GMT	https://demos.devsnest.net/medifast/css/gijgo.min.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/gijgo.min.css	(from https://demos.devsnest.net/medifast/index.html)
21:34:09	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Dec%202022%2016:39:16%20GMT	https://demos.devsnest.net/medifast/css/aos.css	E:/website/zeeshan/demos.devsnest.net/medifast/css/aos.css	(from https://demos.devsnest.net/medifast/index.html)
